Node_ID, X, Y, Z
2, 0.000000, 30.000000, 0.000000
3, -29.998501, 0.300000, 0.000000
4, -0.000000, -30.000000, 0.000000
6, -29.998501, -0.300000, 0.000000
7, 30.000000, 0.000000, 0.000000
24, -2.921854, 29.857374, 0.000000
25, -5.815925, 29.430851, 0.000000
26, -8.654696, 28.724489, 0.000000
27, -11.411175, 27.745001, 0.000000
28, -14.059152, 26.501703, 0.000000
29, -16.573448, 25.006416, 0.000000
30, -18.930157, 23.273357, 0.000000
31, -21.106871, 21.319006, 0.000000
32, -23.082891, 19.161945, 0.000000
33, -24.839430, 16.822683, 0.000000
34, -26.359787, 14.323465, 0.000000
35, -27.629501, 11.688054, 0.000000
36, -28.636505, 8.941508, 0.000000
37, -29.371222, 6.109943, 0.000000
38, -29.826662, 3.220281, 0.000000
84, -29.826662, -3.220281, 0.000000
85, -29.371222, -6.109943, 0.000000
86, -28.636505, -8.941508, 0.000000
87, -27.629501, -11.688054, 0.000000
88, -26.359787, -14.323465, 0.000000
89, -24.839430, -16.822683, 0.000000
90, -23.082891, -19.161945, 0.000000
91, -21.106871, -21.319006, 0.000000
92, -18.930157, -23.273357, 0.000000
93, -16.573448, -25.006416, 0.000000
94, -14.059152, -26.501703, 0.000000
95, -11.411175, -27.745001, 0.000000
96, -8.654696, -28.724489, 0.000000
97, -5.815925, -29.430851, 0.000000
98, -2.921854, -29.857374, 0.000000
99, 2.940514, -29.855541, 0.000000
100, 5.852710, -29.423559, 0.000000
101, 8.708540, -28.708210, 0.000000
102, 11.480503, -27.716387, 0.000000
103, 14.141902, -26.457638, 0.000000
104, 16.667107, -24.944088, 0.000000
105, 19.031799, -23.190313, 0.000000
106, 21.213203, -21.213203, 0.000000
107, 23.190313, -19.031799, 0.000000
108, 24.944088, -16.667107, 0.000000
109, 26.457638, -14.141902, 0.000000
110, 27.716387, -11.480503, 0.000000
111, 28.708210, -8.708540, 0.000000
112, 29.423559, -5.852710, 0.000000
113, 29.855541, -2.940514, 0.000000
114, 29.855541, 2.940514, 0.000000
115, 29.423559, 5.852710, 0.000000
116, 28.708210, 8.708540, 0.000000
117, 27.716387, 11.480503, 0.000000
118, 26.457638, 14.141902, 0.000000
119, 24.944088, 16.667107, 0.000000
120, 23.190313, 19.031799, 0.000000
121, 21.213203, 21.213203, 0.000000
122, 19.031799, 23.190313, 0.000000
123, 16.667107, 24.944088, 0.000000
124, 14.141902, 26.457638, 0.000000
125, 11.480503, 27.716387, 0.000000
126, 8.708540, 28.708210, 0.000000
127, 5.852710, 29.423559, 0.000000
128, 2.940514, 29.855541, 0.000000
