Node_Label,S11,S22,S12
2,4.784404e-01,1.435195e+00,-5.003900e-01
3,9.013028e-02,-1.351321e-04,-4.638498e-03
4,4.784298e-01,1.434678e+00,5.005495e-01
6,8.414332e-02,-3.290251e-03,4.052600e-03
7,1.397260e+00,1.400764e+00,-1.076423e-05
24,5.090578e-01,1.304722e+00,-5.609407e-01
25,5.476531e-01,1.164727e+00,-6.025779e-01
26,5.902662e-01,1.018259e+00,-6.251346e-01
27,6.323793e-01,8.678524e-01,-6.276554e-01
28,6.695710e-01,7.172787e-01,-6.093082e-01
29,6.956036e-01,5.737218e-01,-5.711254e-01
30,7.078082e-01,4.428826e-01,-5.170076e-01
31,7.028173e-01,3.276016e-01,-4.514274e-01
32,6.794426e-01,2.293854e-01,-3.776591e-01
33,6.354398e-01,1.499441e-01,-3.002760e-01
34,5.711852e-01,8.915562e-02,-2.238232e-01
35,4.878816e-01,4.639122e-02,-1.534091e-01
36,3.882198e-01,1.985414e-02,-9.332296e-02
37,2.756633e-01,5.807151e-03,-4.684859e-02
38,1.533462e-01,1.038379e-03,-1.614087e-02
84,1.503791e-01,-6.075928e-04,1.620244e-02
85,2.737567e-01,4.709693e-03,4.564155e-02
86,3.872825e-01,2.051139e-02,9.263018e-02
87,4.894015e-01,4.817254e-02,1.543046e-01
88,5.719819e-01,8.966398e-02,2.238310e-01
89,6.359397e-01,1.499656e-01,3.002026e-01
90,6.801622e-01,2.293250e-01,3.773944e-01
91,7.037216e-01,3.278179e-01,4.517253e-01
92,7.084818e-01,4.433372e-01,5.174746e-01
93,6.958126e-01,5.738536e-01,5.708644e-01
94,6.695034e-01,7.156793e-01,6.083647e-01
95,6.326712e-01,8.646439e-01,6.269899e-01
96,5.907592e-01,1.014977e+00,6.253162e-01
97,5.480095e-01,1.162911e+00,6.031874e-01
98,5.092202e-01,1.303717e+00,5.612749e-01
99,4.602656e-01,1.550266e+00,4.241888e-01
100,4.581029e-01,1.645923e+00,3.356621e-01
101,4.738136e-01,1.719327e+00,2.393269e-01
102,5.087897e-01,1.768951e+00,1.403200e-01
103,5.623581e-01,1.794269e+00,4.394602e-02
104,6.335904e-01,1.796766e+00,-4.484134e-02
105,7.192135e-01,1.778498e+00,-1.212880e-01
106,8.161165e-01,1.743119e+00,-1.816923e-01
107,9.191252e-01,1.694788e+00,-2.230229e-01
108,1.023673e+00,1.638436e+00,-2.437467e-01
109,1.123837e+00,1.579281e+00,-2.433634e-01
110,1.214737e+00,1.522361e+00,-2.228946e-01
111,1.291072e+00,1.472537e+00,-1.845117e-01
112,1.348965e+00,1.433736e+00,-1.316019e-01
113,1.384959e+00,1.409209e+00,-6.844971e-02
114,1.384975e+00,1.409208e+00,6.843214e-02
115,1.348997e+00,1.433736e+00,1.315864e-01
116,1.291112e+00,1.472537e+00,1.845056e-01
117,1.214788e+00,1.522368e+00,2.228936e-01
118,1.123884e+00,1.579289e+00,2.433740e-01
119,1.023724e+00,1.638457e+00,2.437588e-01
120,9.191587e-01,1.694807e+00,2.230447e-01
121,8.161491e-01,1.743152e+00,1.817029e-01
122,7.192214e-01,1.778519e+00,1.213079e-01
123,6.336046e-01,1.796787e+00,4.483128e-02
124,5.623567e-01,1.794266e+00,-4.392944e-02
125,5.088195e-01,1.768923e+00,-1.403423e-01
126,4.738518e-01,1.719305e+00,-2.392638e-01
127,4.581829e-01,1.645868e+00,-3.356250e-01
128,4.603872e-01,1.550343e+00,-4.239857e-01
